epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,18577.2,0.62607,0.97799,0.41958,1.05531,0.95368,0.80952,0.92157,0.82224,0.95368,0.80952,0.92157,0.73431,0.54933,1.16554,0.75813,1.00215,0.0016238,0.0016238,0.0016238
116,18717.8,0.66648,1.00611,0.41941,1.04528,0.80607,0.82469,0.92632,0.82623,0.80607,0.82469,0.92632,0.73543,0.5036,1.05694,1.05981,0.9574,0.0016205,0.0016205,0.0016205
117,18858.5,0.62114,0.97392,0.38727,1.05675,0.98003,0.98413,0.99365,0.81541,0.98003,0.98413,0.99365,0.73761,0.82054,1.37657,0.48666,1.20434,0.0016172,0.0016172,0.0016172
118,18999.3,0.65091,1.01365,0.40765,1.0394,0.97482,0.92165,0.97568,0.86314,0.97482,0.92165,0.9741,0.73579,0.61126,1.28549,0.49018,1.03071,0.0016139,0.0016139,0.0016139
119,19139.7,0.65494,0.9711,0.41218,1.03434,0.94578,0.96915,0.98943,0.87236,0.94578,0.96915,0.98943,0.76923,0.54275,1.13048,0.57891,0.9831,0.0016106,0.0016106,0.0016106
120,19280.4,0.66279,0.99675,0.41907,1.05239,0.93133,0.7381,0.83682,0.74156,0.93133,0.7381,0.83682,0.64298,0.59834,1.44143,1.50817,1.0375,0.0016073,0.0016073,0.0016073
121,19420.5,0.69036,1.06457,0.4389,1.0643,0.99034,0.81357,0.89975,0.8103,0.99034,0.81357,0.89975,0.70966,0.56136,1.15844,0.99409,0.98618,0.001604,0.001604,0.001604
122,19561.4,0.64088,0.98732,0.39957,1.03378,0.99446,0.84127,0.94187,0.86505,0.99446,0.84127,0.93966,0.75521,0.47995,1.06918,0.56884,0.94593,0.0016007,0.0016007,0.0016007
123,19701.7,0.67237,1.02498,0.40827,1.04972,0.97406,0.83333,0.93618,0.83255,0.97406,0.83333,0.93618,0.74337,0.57263,1.03269,0.61624,1.01101,0.0015974,0.0015974,0.0015974
124,19842.5,0.64892,0.97506,0.3836,1.04423,0.96009,0.95471,0.99074,0.82377,0.9099,0.96178,0.97119,0.74364,0.73164,1.14372,0.44591,1.13346,0.0015941,0.0015941,0.0015941
125,19983.2,0.6994,1.0273,0.40927,1.06939,0.84896,0.9127,0.95016,0.84972,0.84896,0.9127,0.95016,0.76935,0.48978,0.97036,1.24159,0.93879,0.0015908,0.0015908,0.0015908
126,20123.9,0.68443,1.03447,0.41155,1.0516,0.94144,0.76557,0.90597,0.82458,0.94144,0.76557,0.90597,0.73307,0.54875,1.06698,0.93899,0.96421,0.0015875,0.0015875,0.0015875
